sku,option_pn,pn_type
361034-B21,361034-B21,option
361035-B21,361035-B21,option
361036-B21,361036-B21,option
361037-B21,361037-B21,option
361038-B21,361038-B21,option
361039-B21,361039-B21,option
361040-B22,361040-B22,option
361381-001,354582-B21,spare
361382-001,354583-B21,spare
361412-B21,361412-B21,option
361413-B21,361413-B21,option
361751-001,354052-B21,spare
361959-001,361037-B21,spare
361960-001,361038-B21,spare
361961-001,361039-B21,spare
364639-B21,364639-B21,option
364757-001,311583-B21,spare
364881-001,350964-B22,assembly
364881-006,350964-B22,assembly
365289-B21,365289-B21,option
365483-B21,365483-B21,option
365695-001,286714-B22,assembly
365695-001-ML100,377537-B21,assembly
365695-002,286716-B22,assembly
365695-002-ML100,371535-B21,assembly
365695-003,350964-B22,assembly
365695-004,332751-B21,assembly
365695-005,356990-B21,assembly
365695-007,286714-B22,assembly
365695-007-ML100,377537-B21,assembly
365695-008,286716-B22,assembly
365695-008-ML100,371535-B21,assembly
365695-009,350964-B22,assembly
365695-010,332751-B21,assembly
365695-011,356990-B21,assembly
365699-001,286776-B22,assembly
365699-001-ML100,371534-B21,assembly
365699-002,286778-B22,assembly
365699-003,347708-B22,assembly
365699-004,357012-B21,assembly
365699-007,286776-B22,assembly
365699-007-ML100,371534-B21,assembly
365699-008,286778-B22,assembly
365699-009,347708-B22,assembly
365699-010,357012-B21,assembly
365914-007,286776-B22,assembly
366486-B21,366486-B21,option
366603-001,367132-B21,spare
366605-001,367047-B21,spare
366606-002,374191-B22,spare
366607-002,374193-B22,spare
366619-B21,366619-B21,option
366638-001,365289-B21,spare
366725-B21,366725-B21,option
366864-001,358344-B21,spare
367047-B21,367047-B21,option
367132-B21,367132-B21,option
367167-001,358348-B21,spare
367553-001,"358349-B21, 371049-B21",spare
367730-001,"358345-B21, 361413-B21",spare
367920-B21,367920-B21,option
367983-001,368169-B21,spare
368152-B21,368152-B21,option
368160-001,348107-B21,spare
368169-B21,368169-B21,option
368327-001,366619-B21,spare
370461-001,378752-B21,assembly
370461-002,378751-B21,assembly
370461-003,378750-B21,assembly
370461-004,378749-B21,assembly
370461-005,378748-B21,assembly
370461-006,397645-B21,assembly
370513-B21,370513-B21,option
370520-B21,370520-B21,option
370682-001,592774-B21,spare
370780-001,"358347-B21, 371047-B21",spare
370855-001,337972-B21,spare
371047-B21,371047-B21,option
371048-B21,371048-B21,option
371049-B21,371049-B21,option
371534-B21,371534-B21,option
371535-B21,371535-B21,option
371541-B21,371541-B21,option
371542-B21,371542-B21,option
371543-B21,371543-B21,option
371697-001,361412-B21,spare
371698-001,355928-B21,spare
371751-001,368152-B21,spare
371755-001,366725-B21,spare
372538-B21,372538-B21,option
372895-B21,372895-B21,option
372953-B21,372953-B21,option
373028-051,376638-B21,assembly
373029-051,376639-B21,assembly
373030-051,379300-B21,assembly
373030-851,379300-B21,assembly
373311-001,383410-B21,spare
373312-001,373312-001,spare
373580-001,371541-B21,spare
373581-001,371542-B21,spare
373582-001,371543-B21,spare
373983-B21,373983-B21,option
374191-B22,374191-B22,option
374193-B22,374193-B22,option
374233-001,374492-B21,spare
374291-001,376158-B21,assembly
374301-001,376160-B21,assembly
374443-001,394795-B21,spare
374492-B21,374492-B21,option
374654-B21,374654-B21,option
374860-001,373983-B21,spare
374931-001,376160-B21,spare
374932-001,376158-B21,spare
374933-001,376227-B21,spare
374963-B21,374963-B21,option
375004-B21,375004-B21,option
375369-B21,375369-B21,option
375476-001,286778-B22,gpn
375696-001,375859-B21,assembly
375696-002,375861-B21,assembly
375698-001,375868-B21,assembly
375698-002,375870-B21,assembly
375698-003,375872-B21,assembly
375712-001,375859-B21,assembly
375712-002,375861-B21,assembly
375859-B21,375859-B21,option
375861-B21,375861-B21,option
375863-004,375861-B21,gpn
375863-010,418367-B21,gpn
375863-012,431958-B21,gpn
375863-016,492620-B21,spare
375868-B21,375868-B21,option
375870-B21,375870-B21,option
375872-B21,375872-B21,option
376069-001,370513-B21,spare
376158-B21,376158-B21,option
376160-B21,376160-B21,option
376189-B21,376189-B21,option
376190-B21,376190-B21,option
376227-B21,376227-B21,option
376232-B21,376232-B21,option
376232-B22,376232-B22,option
376232-B23,376232-B23,option
376241-B21,376241-B21,option
376242-B21,376242-B21,option
